instructions_key_resp_3.keys,instructions_key_resp_3.rt,participant_ID,date,expName,psychopyVersion,OS,frameRate,cal_mouse_start.x,cal_mouse_start.y,cal_mouse_start.leftButton,cal_mouse_start.midButton,cal_mouse_start.rightButton,cal_mouse_start.time,cal_mouse_start.clicked_name,mouse_cal_end_2.x,mouse_cal_end_2.y,mouse_cal_end_2.leftButton,mouse_cal_end_2.midButton,mouse_cal_end_2.rightButton,mouse_cal_end_2.time,mouse_cal_end_2.clicked_name,instructions_key_resp.keys,instructions_key_resp.rt,instructions_key_resp_2.keys,instructions_key_resp_2.rt,mouse_hg.x,mouse_hg.y,mouse_hg.leftButton,mouse_hg.midButton,mouse_hg.rightButton,mouse_hg.clicked_name,StartTime ,mouse_hg_2.x,mouse_hg_2.y,mouse_hg_2.leftButton,mouse_hg_2.midButton,mouse_hg_2.rightButton,mouse_hg_2.clicked_name,EndTime,loop_temporal.thisRepN,loop_temporal.thisTrialN,loop_temporal.thisN,loop_temporal.thisIndex,loop_temporal.ran,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_11.keys,key_resp_9.keys,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,durations,disp,start,rand,jitter,display,spatial,temporal,x_loc,box_loc,top_hg_loc,bottom_hg_loc,ystartdistractor1,ystartdistractor2,ystarttarget,xstartdistractor1,xstartdistractor2,durationsdistractor1,durationsdistractor2,jitterdistractor1,jitterdistractor2,dispdistractor1,dispdistractor2,mouse_startx.x,mouse_startx.y,mouse_startx.leftButton,mouse_startx.midButton,mouse_startx.rightButton,mouse_startx.time,mouse_startx.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop_spatial.thisRepN,loop_spatial.thisTrialN,loop_spatial.thisN,loop_spatial.thisIndex,loop_spatial.ran,key_resp_6.rt,practicetrialend_key_resp.keys,practicetrialend_key_resp.rt,loop_temporal_exp.thisRepN,loop_temporal_exp.thisTrialN,loop_temporal_exp.thisN,loop_temporal_exp.thisIndex,loop_temporal_exp.ran,key_resp_2.keys,break_key_resp.keys,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,catchn,catchd,loop_spatial_exp.thisRepN,loop_spatial_exp.thisTrialN,loop_spatial_exp.thisN,loop_spatial_exp.thisIndex,loop_spatial_exp.ran
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8435,,,,0,2,2,0,1,2.5,330,-600,0.291418442,165,time,0,1,,,,,100,-100,0,-300,-200,0,0,37.5,17.5,75,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-805,-431,1,0,0,1.1159,startx,-98,-463,1,0,0,0.4502,polygon,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7686,,,,0,3,3,3,1,1.75,600,-400,0.140329976,300,line,1,0,,,,,100,-100,0,-200,-300,0,0,17.5,37.5,35,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7612,,,,,,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,-795,-402,1,0,0,hg_top,45.8303,-812,-407,1,0,0,hg_bottom_2,47.5467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8828,,,,,,,,,2,287.5,-400,,143.75,time,0,1,,,,,-100,100,0,-400,-200,1.5,1,191.6666667,287.5,383.3333334,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,30,1,0,"please press the ""c"" key on your keyboard",,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-823,437,1,0,0,1.3921,startx,-430,437,1,0,0,0.5497,polygon,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2905,,,,,,,,,3.5,57.14285714,-200,,28.57142857,line,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,14,1,0,"please press the ""c"" key on your keyboard",,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-815,-434,1,0,0,0.9263,startx,-208,-421,1,0,0,0.8829,polygon,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2097,,,,,,,,,5,70,-400,,35,line,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,22,1,0,"please press the ""c"" key on your keyboard",,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,-815,-418,1,0,0,hg_bottom,72.0937,-808,-428,1,0,0,hg_bottom_2,75.3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
,,123123123,2022-11-07_16h32.14.110,RRcb_task,2022.2.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3688,,,,,,,,,2.5,140,-600,,70,time,0,1,,,,,-100,100,0,-600,-400,2,1.5,87.5,116.6666667,175,233.3333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,33,1,0,"please press the ""c"" key on your keyboard",,,,,
