instructions_key_resp_3.keys,instructions_key_resp_3.rt,First two letters of each Parents First Name and their date of birth. E.g. hapa1114,date,expName,psychopyVersion,OS,frameRate,cal_mouse_start.x,cal_mouse_start.y,cal_mouse_start.leftButton,cal_mouse_start.midButton,cal_mouse_start.rightButton,cal_mouse_start.time,cal_mouse_start.clicked_name,mouse_cal_end_2.x,mouse_cal_end_2.y,mouse_cal_end_2.leftButton,mouse_cal_end_2.midButton,mouse_cal_end_2.rightButton,mouse_cal_end_2.time,mouse_cal_end_2.clicked_name
space,1.4493,vism0206,2022-11-08_18h00.48.610,RRcb_task,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,
,,vism0206,2022-11-08_18h00.48.610,RRcb_task,2022.2.4,MacIntel,60.0024001,-133.7929688,-9.140625,1,0,0,1.4726,c_start_x,,,,,,,
,,vism0206,2022-11-08_18h00.48.610,RRcb_task,2022.2.4,MacIntel,60.0024001,,,,,,,,134.3359375,-7.33203125,1,0,0,1.3988,c_end_x
,,vism0206,2022-11-08_18h00.48.610,RRcb_task,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,
