instructions_key_resp_3.keys,instructions_key_resp_3.rt,participant_ID,date,expName,psychopyVersion,OS,frameRate,cal_mouse_start.x,cal_mouse_start.y,cal_mouse_start.leftButton,cal_mouse_start.midButton,cal_mouse_start.rightButton,cal_mouse_start.time,cal_mouse_start.clicked_name
space,0.8983,asdasd,2022-11-07_15h36.36.756,RRcb_task,2022.2.4,Win32,60.29544769,,,,,,,
,,asdasd,2022-11-07_15h36.36.756,RRcb_task,2022.2.4,Win32,60.29544769,-117,2,1,0,0,1.0477,c_start_x
